Sensor,Coefficient,Intercept
sensor01,2.5080774157549155,-0.05197842707478273
sensor02,2.86533111522792,1.3504209325549539
sensor03,0.9812874373560118,0.023287738014207804
sensor04,2.1364367536113473,0.501951856369768
sensor05,1.001331804783509,-0.09817255217128817
sensor06,2.6687691420321147,0.9743370971740788
sensor07,2.1709360775243893,0.4857962672137681
sensor08,0.5449947000345194,1.2700259075264704
sensor09,0.5374373095898007,-0.38457220381580015
sensor10,0.8559359497140135,-0.49160359729750525
sensor11,2.023259737518308,0.49940064347088864
sensor12,0.9575788613935686,0.30502775618088407
sensor13,0.9075683614751856,0.34479135888769363
sensor14,0.9491174014907237,-0.42688921647474487
sensor15,1.0003370556878535,0.11594869983196077
